Product,Total Sale,Date, Region
pink morsel,1638.0,2018-02-06,north
pink morsel,1647.0,2018-02-06,south
pink morsel,1731.0,2018-02-06,east
pink morsel,1557.0,2018-02-06,west
gold morsel,5794.2,2018-02-06,north
gold morsel,5294.7,2018-02-06,south
gold morsel,5754.24,2018-02-06,east
gold morsel,5794.2,2018-02-06,west
magenta morsel,1305.0,2018-02-06,north
magenta morsel,1400.0,2018-02-06,south
magenta morsel,1457.5,2018-02-06,east
magenta morsel,1380.0,2018-02-06,west
chartreuse morsel,1629.0,2018-02-06,north
chartreuse morsel,1722.0,2018-02-06,south
chartreuse morsel,1731.0,2018-02-06,east
chartreuse morsel,1509.0,2018-02-06,west
periwinkle morsel,662.5,2018-02-06,north
periwinkle morsel,682.5,2018-02-06,south
periwinkle morsel,632.5,2018-02-06,east
periwinkle morsel,698.75,2018-02-06,west
vermilion morsel,2659.67,2018-02-06,north
vermilion morsel,2834.32,2018-02-06,south
vermilion morsel,2774.44,2018-02-06,east
vermilion morsel,2859.27,2018-02-06,west
lapis morsel,1082.56,2018-02-06,north
lapis morsel,1148.23,2018-02-06,south
lapis morsel,1058.68,2018-02-06,east
lapis morsel,1164.15,2018-02-06,west
pink morsel,1587.0,2018-02-07,north
pink morsel,1698.0,2018-02-07,south
pink morsel,1542.0,2018-02-07,east
pink morsel,1635.0,2018-02-07,west
gold morsel,5054.9400000000005,2018-02-07,north
gold morsel,5114.88,2018-02-07,south
gold morsel,5234.76,2018-02-07,east
gold morsel,5584.41,2018-02-07,west
magenta morsel,1485.0,2018-02-07,north
magenta morsel,1490.0,2018-02-07,south
magenta morsel,1342.5,2018-02-07,east
magenta morsel,1310.0,2018-02-07,west
chartreuse morsel,1599.0,2018-02-07,north
chartreuse morsel,1641.0,2018-02-07,south
chartreuse morsel,1503.0,2018-02-07,east
chartreuse morsel,1644.0,2018-02-07,west
periwinkle morsel,716.25,2018-02-07,north
periwinkle morsel,681.25,2018-02-07,south
periwinkle morsel,722.5,2018-02-07,east
periwinkle morsel,630.0,2018-02-07,west
vermilion morsel,2799.3900000000003,2018-02-07,north
vermilion morsel,2899.19,2018-02-07,south
vermilion morsel,2744.5,2018-02-07,east
vermilion morsel,2524.94,2018-02-07,west
lapis morsel,1030.82,2018-02-07,north
lapis morsel,1068.6299999999999,2018-02-07,south
lapis morsel,1110.42,2018-02-07,east
lapis morsel,1066.64,2018-02-07,west
pink morsel,1602.0,2018-02-08,north
pink morsel,1536.0,2018-02-08,south
pink morsel,1503.0,2018-02-08,east
pink morsel,1701.0,2018-02-08,west
gold morsel,5894.1,2018-02-08,north
gold morsel,5004.99,2018-02-08,south
gold morsel,5144.85,2018-02-08,east
gold morsel,5134.86,2018-02-08,west
magenta morsel,1397.5,2018-02-08,north
magenta morsel,1375.0,2018-02-08,south
magenta morsel,1392.5,2018-02-08,east
magenta morsel,1285.0,2018-02-08,west
chartreuse morsel,1800.0,2018-02-08,north
chartreuse morsel,1626.0,2018-02-08,south
chartreuse morsel,1605.0,2018-02-08,east
chartreuse morsel,1530.0,2018-02-08,west
periwinkle morsel,630.0,2018-02-08,north
periwinkle morsel,661.25,2018-02-08,south
periwinkle morsel,723.75,2018-02-08,east
periwinkle morsel,638.75,2018-02-08,west
vermilion morsel,2495.0,2018-02-08,north
vermilion morsel,2594.8,2018-02-08,south
vermilion morsel,2679.63,2018-02-08,east
vermilion morsel,2994.0,2018-02-08,west
lapis morsel,1124.35,2018-02-08,north
lapis morsel,996.99,2018-02-08,south
lapis morsel,1060.67,2018-02-08,east
lapis morsel,995.0,2018-02-08,west
pink morsel,1758.0,2018-02-09,north
pink morsel,1662.0,2018-02-09,south
pink morsel,1782.0,2018-02-09,east
pink morsel,1515.0,2018-02-09,west
gold morsel,5964.03,2018-02-09,north
gold morsel,5834.16,2018-02-09,south
gold morsel,5524.47,2018-02-09,east
gold morsel,5834.16,2018-02-09,west
magenta morsel,1485.0,2018-02-09,north
magenta morsel,1420.0,2018-02-09,south
magenta morsel,1390.0,2018-02-09,east
magenta morsel,1447.5,2018-02-09,west
chartreuse morsel,1764.0,2018-02-09,north
chartreuse morsel,1620.0,2018-02-09,south
chartreuse morsel,1629.0,2018-02-09,east
chartreuse morsel,1674.0,2018-02-09,west
periwinkle morsel,722.5,2018-02-09,north
periwinkle morsel,647.5,2018-02-09,south
periwinkle morsel,738.75,2018-02-09,east
periwinkle morsel,656.25,2018-02-09,west
vermilion morsel,2819.35,2018-02-09,north
vermilion morsel,2994.0,2018-02-09,south
vermilion morsel,2864.26,2018-02-09,east
vermilion morsel,2549.8900000000003,2018-02-09,west
lapis morsel,1018.88,2018-02-09,north
lapis morsel,1074.6,2018-02-09,south
lapis morsel,1144.25,2018-02-09,east
lapis morsel,1030.82,2018-02-09,west
pink morsel,1662.0,2018-02-10,north
pink morsel,1557.0,2018-02-10,south
pink morsel,1650.0,2018-02-10,east
pink morsel,1674.0,2018-02-10,west
gold morsel,5084.91,2018-02-10,north
gold morsel,5474.52,2018-02-10,south
gold morsel,5164.83,2018-02-10,east
gold morsel,5224.77,2018-02-10,west
magenta morsel,1500.0,2018-02-10,north
magenta morsel,1405.0,2018-02-10,south
magenta morsel,1440.0,2018-02-10,east
magenta morsel,1277.5,2018-02-10,west
chartreuse morsel,1773.0,2018-02-10,north
chartreuse morsel,1707.0,2018-02-10,south
chartreuse morsel,1731.0,2018-02-10,east
chartreuse morsel,1635.0,2018-02-10,west
periwinkle morsel,682.5,2018-02-10,north
periwinkle morsel,687.5,2018-02-10,south
periwinkle morsel,648.75,2018-02-10,east
periwinkle morsel,732.5,2018-02-10,west
vermilion morsel,2679.63,2018-02-10,north
vermilion morsel,2849.29,2018-02-10,south
vermilion morsel,2724.54,2018-02-10,east
vermilion morsel,2739.51,2018-02-10,west
lapis morsel,1192.01,2018-02-10,north
lapis morsel,1134.3,2018-02-10,south
lapis morsel,1108.43,2018-02-10,east
lapis morsel,1154.2,2018-02-10,west
pink morsel,1554.0,2018-02-11,north
pink morsel,1587.0,2018-02-11,south
pink morsel,1563.0,2018-02-11,east
pink morsel,1764.0,2018-02-11,west
gold morsel,5174.82,2018-02-11,north
gold morsel,5774.22,2018-02-11,south
gold morsel,5334.66,2018-02-11,east
gold morsel,5074.92,2018-02-11,west
magenta morsel,1447.5,2018-02-11,north
magenta morsel,1290.0,2018-02-11,south
magenta morsel,1357.5,2018-02-11,east
magenta morsel,1250.0,2018-02-11,west
chartreuse morsel,1767.0,2018-02-11,north
chartreuse morsel,1533.0,2018-02-11,south
chartreuse morsel,1650.0,2018-02-11,east
chartreuse morsel,1545.0,2018-02-11,west
periwinkle morsel,715.0,2018-02-11,north
periwinkle morsel,628.75,2018-02-11,south
periwinkle morsel,681.25,2018-02-11,east
periwinkle morsel,675.0,2018-02-11,west
vermilion morsel,2599.79,2018-02-11,north
vermilion morsel,2509.9700000000003,2018-02-11,south
vermilion morsel,2784.42,2018-02-11,east
vermilion morsel,2734.52,2018-02-11,west
lapis morsel,996.99,2018-02-11,north
lapis morsel,1128.33,2018-02-11,south
lapis morsel,1080.57,2018-02-11,east
lapis morsel,1152.21,2018-02-11,west
pink morsel,1758.0,2018-02-12,north
pink morsel,1608.0,2018-02-12,south
pink morsel,1569.0,2018-02-12,east
pink morsel,1653.0,2018-02-12,west
gold morsel,5334.66,2018-02-12,north
gold morsel,5424.57,2018-02-12,south
gold morsel,5104.89,2018-02-12,east
gold morsel,5144.85,2018-02-12,west
magenta morsel,1250.0,2018-02-12,north
magenta morsel,1330.0,2018-02-12,south
magenta morsel,1292.5,2018-02-12,east
magenta morsel,1325.0,2018-02-12,west
chartreuse morsel,1623.0,2018-02-12,north
chartreuse morsel,1563.0,2018-02-12,south
chartreuse morsel,1593.0,2018-02-12,east
chartreuse morsel,1527.0,2018-02-12,west
periwinkle morsel,652.5,2018-02-12,north
periwinkle morsel,627.5,2018-02-12,south
periwinkle morsel,652.5,2018-02-12,east
periwinkle morsel,723.75,2018-02-12,west
vermilion morsel,2539.9100000000003,2018-02-12,north
vermilion morsel,2964.06,2018-02-12,south
vermilion morsel,2894.2000000000003,2018-02-12,east
vermilion morsel,2609.77,2018-02-12,west
lapis morsel,1150.22,2018-02-12,north
lapis morsel,1140.27,2018-02-12,south
lapis morsel,1040.77,2018-02-12,east
lapis morsel,1008.93,2018-02-12,west
pink morsel,1572.0,2018-02-13,north
pink morsel,1716.0,2018-02-13,south
pink morsel,1773.0,2018-02-13,east
pink morsel,1725.0,2018-02-13,west
gold morsel,5204.79,2018-02-13,north
gold morsel,5834.16,2018-02-13,south
gold morsel,5154.84,2018-02-13,east
gold morsel,5164.83,2018-02-13,west
magenta morsel,1367.5,2018-02-13,north
magenta morsel,1492.5,2018-02-13,south
magenta morsel,1497.5,2018-02-13,east
magenta morsel,1462.5,2018-02-13,west
chartreuse morsel,1734.0,2018-02-13,north
chartreuse morsel,1716.0,2018-02-13,south
chartreuse morsel,1770.0,2018-02-13,east
chartreuse morsel,1536.0,2018-02-13,west
periwinkle morsel,643.75,2018-02-13,north
periwinkle morsel,630.0,2018-02-13,south
periwinkle morsel,672.5,2018-02-13,east
periwinkle morsel,643.75,2018-02-13,west
vermilion morsel,2919.15,2018-02-13,north
vermilion morsel,2849.29,2018-02-13,south
vermilion morsel,2684.62,2018-02-13,east
vermilion morsel,2495.0,2018-02-13,west
lapis morsel,996.99,2018-02-13,north
lapis morsel,1076.59,2018-02-13,south
lapis morsel,1122.36,2018-02-13,east
lapis morsel,996.99,2018-02-13,west
pink morsel,1767.0,2018-02-14,north
pink morsel,1710.0,2018-02-14,south
pink morsel,1698.0,2018-02-14,east
pink morsel,1512.0,2018-02-14,west
gold morsel,5074.92,2018-02-14,north
gold morsel,5754.24,2018-02-14,south
gold morsel,5354.64,2018-02-14,east
gold morsel,5454.54,2018-02-14,west
magenta morsel,1485.0,2018-02-14,north
magenta morsel,1355.0,2018-02-14,south
magenta morsel,1267.5,2018-02-14,east
magenta morsel,1290.0,2018-02-14,west
chartreuse morsel,1581.0,2018-02-14,north
chartreuse morsel,1698.0,2018-02-14,south
chartreuse morsel,1794.0,2018-02-14,east
chartreuse morsel,1572.0,2018-02-14,west
periwinkle morsel,743.75,2018-02-14,north
periwinkle morsel,750.0,2018-02-14,south
periwinkle morsel,697.5,2018-02-14,east
periwinkle morsel,658.75,2018-02-14,west
vermilion morsel,2619.75,2018-02-14,north
vermilion morsel,2654.6800000000003,2018-02-14,south
vermilion morsel,2729.53,2018-02-14,east
vermilion morsel,2554.88,2018-02-14,west
lapis morsel,1056.69,2018-02-14,north
lapis morsel,1084.55,2018-02-14,south
lapis morsel,1186.04,2018-02-14,east
lapis morsel,1028.83,2018-02-14,west
pink morsel,1746.0,2018-02-15,north
pink morsel,1734.0,2018-02-15,south
pink morsel,1524.0,2018-02-15,east
pink morsel,1614.0,2018-02-15,west
gold morsel,5344.650000000001,2018-02-15,north
gold morsel,5074.92,2018-02-15,south
gold morsel,5764.2300000000005,2018-02-15,east
gold morsel,5104.89,2018-02-15,west
magenta morsel,1307.5,2018-02-15,north
magenta morsel,1325.0,2018-02-15,south
magenta morsel,1455.0,2018-02-15,east
magenta morsel,1405.0,2018-02-15,west
chartreuse morsel,1605.0,2018-02-15,north
chartreuse morsel,1599.0,2018-02-15,south
chartreuse morsel,1764.0,2018-02-15,east
chartreuse morsel,1524.0,2018-02-15,west
periwinkle morsel,638.75,2018-02-15,north
periwinkle morsel,676.25,2018-02-15,south
periwinkle morsel,661.25,2018-02-15,east
periwinkle morsel,712.5,2018-02-15,west
vermilion morsel,2584.82,2018-02-15,north
vermilion morsel,2659.67,2018-02-15,south
vermilion morsel,2659.67,2018-02-15,east
vermilion morsel,2759.4700000000003,2018-02-15,west
lapis morsel,1046.74,2018-02-15,north
lapis morsel,1104.45,2018-02-15,south
lapis morsel,1098.48,2018-02-15,east
lapis morsel,1100.47,2018-02-15,west
pink morsel,1578.0,2018-02-16,north
pink morsel,1782.0,2018-02-16,south
pink morsel,1527.0,2018-02-16,east
pink morsel,1752.0,2018-02-16,west
gold morsel,5054.9400000000005,2018-02-16,north
gold morsel,5904.09,2018-02-16,south
gold morsel,5024.97,2018-02-16,east
gold morsel,5184.81,2018-02-16,west
magenta morsel,1370.0,2018-02-16,north
magenta morsel,1445.0,2018-02-16,south
magenta morsel,1295.0,2018-02-16,east
magenta morsel,1410.0,2018-02-16,west
chartreuse morsel,1500.0,2018-02-16,north
chartreuse morsel,1599.0,2018-02-16,south
chartreuse morsel,1503.0,2018-02-16,east
chartreuse morsel,1587.0,2018-02-16,west
periwinkle morsel,746.25,2018-02-16,north
periwinkle morsel,651.25,2018-02-16,south
periwinkle morsel,696.25,2018-02-16,east
periwinkle morsel,677.5,2018-02-16,west
vermilion morsel,2589.81,2018-02-16,north
vermilion morsel,2959.07,2018-02-16,south
vermilion morsel,2849.29,2018-02-16,east
vermilion morsel,2544.9,2018-02-16,west
lapis morsel,1024.85,2018-02-16,north
lapis morsel,1014.9,2018-02-16,south
lapis morsel,1036.79,2018-02-16,east
lapis morsel,1142.26,2018-02-16,west
pink morsel,1785.0,2018-02-17,north
pink morsel,1689.0,2018-02-17,south
pink morsel,1641.0,2018-02-17,east
pink morsel,1575.0,2018-02-17,west
gold morsel,5634.36,2018-02-17,north
gold morsel,5724.27,2018-02-17,south
gold morsel,5234.76,2018-02-17,east
gold morsel,5294.7,2018-02-17,west
magenta morsel,1487.5,2018-02-17,north
magenta morsel,1257.5,2018-02-17,south
magenta morsel,1450.0,2018-02-17,east
magenta morsel,1420.0,2018-02-17,west
chartreuse morsel,1584.0,2018-02-17,north
chartreuse morsel,1719.0,2018-02-17,south
chartreuse morsel,1734.0,2018-02-17,east
chartreuse morsel,1650.0,2018-02-17,west
periwinkle morsel,693.75,2018-02-17,north
periwinkle morsel,663.75,2018-02-17,south
periwinkle morsel,643.75,2018-02-17,east
periwinkle morsel,681.25,2018-02-17,west
vermilion morsel,2594.8,2018-02-17,north
vermilion morsel,2869.25,2018-02-17,south
vermilion morsel,2859.27,2018-02-17,east
vermilion morsel,2594.8,2018-02-17,west
lapis morsel,1024.85,2018-02-17,north
lapis morsel,1192.01,2018-02-17,south
lapis morsel,1132.31,2018-02-17,east
lapis morsel,1172.11,2018-02-17,west
pink morsel,1644.0,2018-02-18,north
pink morsel,1674.0,2018-02-18,south
pink morsel,1551.0,2018-02-18,east
pink morsel,1737.0,2018-02-18,west
gold morsel,5204.79,2018-02-18,north
gold morsel,5674.32,2018-02-18,south
gold morsel,5394.6,2018-02-18,east
gold morsel,5824.17,2018-02-18,west
magenta morsel,1437.5,2018-02-18,north
magenta morsel,1265.0,2018-02-18,south
magenta morsel,1330.0,2018-02-18,east
magenta morsel,1272.5,2018-02-18,west
chartreuse morsel,1773.0,2018-02-18,north
chartreuse morsel,1536.0,2018-02-18,south
chartreuse morsel,1617.0,2018-02-18,east
chartreuse morsel,1692.0,2018-02-18,west
periwinkle morsel,641.25,2018-02-18,north
periwinkle morsel,661.25,2018-02-18,south
periwinkle morsel,721.25,2018-02-18,east
periwinkle morsel,630.0,2018-02-18,west
vermilion morsel,2839.31,2018-02-18,north
vermilion morsel,2884.2200000000003,2018-02-18,south
vermilion morsel,2574.84,2018-02-18,east
vermilion morsel,2634.7200000000003,2018-02-18,west
lapis morsel,1144.25,2018-02-18,north
lapis morsel,1066.64,2018-02-18,south
lapis morsel,1002.96,2018-02-18,east
lapis morsel,1140.27,2018-02-18,west
pink morsel,1563.0,2018-02-19,north
pink morsel,1647.0,2018-02-19,south
pink morsel,1605.0,2018-02-19,east
pink morsel,1539.0,2018-02-19,west
gold morsel,5614.38,2018-02-19,north
gold morsel,5924.07,2018-02-19,south
gold morsel,5924.07,2018-02-19,east
gold morsel,5964.03,2018-02-19,west
magenta morsel,1277.5,2018-02-19,north
magenta morsel,1272.5,2018-02-19,south
magenta morsel,1475.0,2018-02-19,east
magenta morsel,1437.5,2018-02-19,west
chartreuse morsel,1557.0,2018-02-19,north
chartreuse morsel,1563.0,2018-02-19,south
chartreuse morsel,1596.0,2018-02-19,east
chartreuse morsel,1512.0,2018-02-19,west
periwinkle morsel,635.0,2018-02-19,north
periwinkle morsel,660.0,2018-02-19,south
periwinkle morsel,693.75,2018-02-19,east
periwinkle morsel,727.5,2018-02-19,west
vermilion morsel,2974.04,2018-02-19,north
vermilion morsel,2844.3,2018-02-19,south
vermilion morsel,2854.28,2018-02-19,east
vermilion morsel,2964.06,2018-02-19,west
lapis morsel,1096.49,2018-02-19,north
lapis morsel,1000.97,2018-02-19,south
lapis morsel,1130.32,2018-02-19,east
lapis morsel,1116.39,2018-02-19,west
pink morsel,1698.0,2018-02-20,north
pink morsel,1575.0,2018-02-20,south
pink morsel,1500.0,2018-02-20,east
pink morsel,1551.0,2018-02-20,west
gold morsel,5804.1900000000005,2018-02-20,north
gold morsel,5434.56,2018-02-20,south
gold morsel,5684.31,2018-02-20,east
gold morsel,5944.05,2018-02-20,west
magenta morsel,1302.5,2018-02-20,north
magenta morsel,1457.5,2018-02-20,south
magenta morsel,1445.0,2018-02-20,east
magenta morsel,1432.5,2018-02-20,west
chartreuse morsel,1671.0,2018-02-20,north
chartreuse morsel,1746.0,2018-02-20,south
chartreuse morsel,1656.0,2018-02-20,east
chartreuse morsel,1572.0,2018-02-20,west
periwinkle morsel,741.25,2018-02-20,north
periwinkle morsel,662.5,2018-02-20,south
periwinkle morsel,651.25,2018-02-20,east
periwinkle morsel,746.25,2018-02-20,west
vermilion morsel,2899.19,2018-02-20,north
vermilion morsel,2599.79,2018-02-20,south
vermilion morsel,2909.17,2018-02-20,east
vermilion morsel,2579.83,2018-02-20,west
lapis morsel,1038.78,2018-02-20,north
lapis morsel,1060.67,2018-02-20,south
lapis morsel,1168.1299999999999,2018-02-20,east
lapis morsel,1030.82,2018-02-20,west
pink morsel,1737.0,2018-02-21,north
pink morsel,1542.0,2018-02-21,south
pink morsel,1665.0,2018-02-21,east
pink morsel,1548.0,2018-02-21,west
gold morsel,5744.25,2018-02-21,north
gold morsel,4995.0,2018-02-21,south
gold morsel,5574.42,2018-02-21,east
gold morsel,5074.92,2018-02-21,west
magenta morsel,1467.5,2018-02-21,north
magenta morsel,1422.5,2018-02-21,south
magenta morsel,1267.5,2018-02-21,east
magenta morsel,1292.5,2018-02-21,west
chartreuse morsel,1638.0,2018-02-21,north
chartreuse morsel,1689.0,2018-02-21,south
chartreuse morsel,1536.0,2018-02-21,east
chartreuse morsel,1668.0,2018-02-21,west
periwinkle morsel,633.75,2018-02-21,north
periwinkle morsel,730.0,2018-02-21,south
periwinkle morsel,697.5,2018-02-21,east
periwinkle morsel,742.5,2018-02-21,west
vermilion morsel,2779.4300000000003,2018-02-21,north
vermilion morsel,2604.78,2018-02-21,south
vermilion morsel,2834.32,2018-02-21,east
vermilion morsel,2934.1200000000003,2018-02-21,west
lapis morsel,1186.04,2018-02-21,north
lapis morsel,1138.28,2018-02-21,south
lapis morsel,1042.76,2018-02-21,east
lapis morsel,1068.6299999999999,2018-02-21,west
pink morsel,1635.0,2018-02-22,north
pink morsel,1632.0,2018-02-22,south
pink morsel,1668.0,2018-02-22,east
pink morsel,1764.0,2018-02-22,west
gold morsel,5284.71,2018-02-22,north
gold morsel,5304.6900000000005,2018-02-22,south
gold morsel,5154.84,2018-02-22,east
gold morsel,5414.58,2018-02-22,west
magenta morsel,1442.5,2018-02-22,north
magenta morsel,1312.5,2018-02-22,south
magenta morsel,1300.0,2018-02-22,east
magenta morsel,1325.0,2018-02-22,west
chartreuse morsel,1662.0,2018-02-22,north
chartreuse morsel,1584.0,2018-02-22,south
chartreuse morsel,1599.0,2018-02-22,east
chartreuse morsel,1563.0,2018-02-22,west
periwinkle morsel,720.0,2018-02-22,north
periwinkle morsel,732.5,2018-02-22,south
periwinkle morsel,651.25,2018-02-22,east
periwinkle morsel,633.75,2018-02-22,west
vermilion morsel,2614.76,2018-02-22,north
vermilion morsel,2604.78,2018-02-22,south
vermilion morsel,2709.57,2018-02-22,east
vermilion morsel,2859.27,2018-02-22,west
lapis morsel,1004.95,2018-02-22,north
lapis morsel,1010.92,2018-02-22,south
lapis morsel,1152.21,2018-02-22,east
lapis morsel,1194.0,2018-02-22,west
pink morsel,1533.0,2018-02-23,north
pink morsel,1563.0,2018-02-23,south
pink morsel,1641.0,2018-02-23,east
pink morsel,1773.0,2018-02-23,west
gold morsel,5184.81,2018-02-23,north
gold morsel,5354.64,2018-02-23,south
gold morsel,5504.49,2018-02-23,east
gold morsel,5404.59,2018-02-23,west
magenta morsel,1255.0,2018-02-23,north
magenta morsel,1445.0,2018-02-23,south
magenta morsel,1290.0,2018-02-23,east
magenta morsel,1455.0,2018-02-23,west
chartreuse morsel,1638.0,2018-02-23,north
chartreuse morsel,1581.0,2018-02-23,south
chartreuse morsel,1734.0,2018-02-23,east
chartreuse morsel,1650.0,2018-02-23,west
periwinkle morsel,702.5,2018-02-23,north
periwinkle morsel,648.75,2018-02-23,south
periwinkle morsel,632.5,2018-02-23,east
periwinkle morsel,740.0,2018-02-23,west
vermilion morsel,2599.79,2018-02-23,north
vermilion morsel,2884.2200000000003,2018-02-23,south
vermilion morsel,2989.01,2018-02-23,east
vermilion morsel,2599.79,2018-02-23,west
lapis morsel,996.99,2018-02-23,north
lapis morsel,1040.77,2018-02-23,south
lapis morsel,1096.49,2018-02-23,east
lapis morsel,1194.0,2018-02-23,west
pink morsel,1629.0,2018-02-24,north
pink morsel,1698.0,2018-02-24,south
pink morsel,1725.0,2018-02-24,east
pink morsel,1722.0,2018-02-24,west
gold morsel,5314.68,2018-02-24,north
gold morsel,5374.62,2018-02-24,south
gold morsel,5644.35,2018-02-24,east
gold morsel,5064.93,2018-02-24,west
magenta morsel,1295.0,2018-02-24,north
magenta morsel,1472.5,2018-02-24,south
magenta morsel,1367.5,2018-02-24,east
magenta morsel,1277.5,2018-02-24,west
chartreuse morsel,1749.0,2018-02-24,north
chartreuse morsel,1584.0,2018-02-24,south
chartreuse morsel,1560.0,2018-02-24,east
chartreuse morsel,1656.0,2018-02-24,west
periwinkle morsel,685.0,2018-02-24,north
periwinkle morsel,625.0,2018-02-24,south
periwinkle morsel,712.5,2018-02-24,east
periwinkle morsel,748.75,2018-02-24,west
vermilion morsel,2634.7200000000003,2018-02-24,north
vermilion morsel,2954.08,2018-02-24,south
vermilion morsel,2684.62,2018-02-24,east
vermilion morsel,2819.35,2018-02-24,west
lapis morsel,1190.02,2018-02-24,north
lapis morsel,996.99,2018-02-24,south
lapis morsel,1106.44,2018-02-24,east
lapis morsel,1094.5,2018-02-24,west
pink morsel,1596.0,2018-02-25,north
pink morsel,1710.0,2018-02-25,south
pink morsel,1635.0,2018-02-25,east
pink morsel,1659.0,2018-02-25,west
gold morsel,5824.17,2018-02-25,north
gold morsel,5994.0,2018-02-25,south
gold morsel,5854.14,2018-02-25,east
gold morsel,5734.26,2018-02-25,west
magenta morsel,1385.0,2018-02-25,north
magenta morsel,1315.0,2018-02-25,south
magenta morsel,1470.0,2018-02-25,east
magenta morsel,1415.0,2018-02-25,west
chartreuse morsel,1533.0,2018-02-25,north
chartreuse morsel,1569.0,2018-02-25,south
chartreuse morsel,1581.0,2018-02-25,east
chartreuse morsel,1563.0,2018-02-25,west
periwinkle morsel,676.25,2018-02-25,north
